"species","ind","d_one","altura","d_two","ar","arp","prot","volume","biov","biomassa"
"blowmani",71,221.08,44,103.66,17509.14,12946.83,73.9432662,113549.3744,83962.11619,0.009487719
"blowmani",72,161.69,32,91.42,10505.32,5488.86,52.24838463,52037.7227,27188.86951,0.003072342
"blowmani",73,182.84,26.5,78.88,10525.26,9367.94,89.00435714,43389.23421,38618.30898,0.004363869
"blowmani",74,170,28.5,96.71,10746.03,4773.57,44.42170737,51479.98844,22868.28982,0.002584117
"blowmani",75,161.24,26,86.59,10209.37,7321.2,71.71059527,40189.97513,28820.4704,0.003256713
"blowmani",76,186.62,27,104.57,12558.5,9769.99,77.79583549,57993.3538,45116.41412,0.005098155
"blowmani",77,126.33,35,78.88,6916.42,3090.64,44.68554541,37876.50527,16925.32296,0.001912561
"blowmani",78,223.49,42.5,106.23,18739.2,8492.93,45.32173198,113431.7377,51409.22817,0.005809243
"blowmani",79,177.1,34,97.62,11921.56,11921.56,100,64884.43382,64884.43382,0.007331941
"blowmani",80,215.03,40,103.81,15279.52,11001.59,72.0021964,100192.8363,72141.0428,0.008151938
"blowmani",81,145.37,30,107.44,9804.39,4915.2,50.13264466,49367.84982,24749.40873,0.002796683
"blowmani",82,200.37,44,100.19,13965.47,3574.43,25.59477053,98764.01247,25278.42236,0.002856462
"blowmani",83,208.38,41,101.4,14371.07,14371.07,100,97138.54297,97138.54297,0.010976655
"blowmani",84,163.05,36,92.18,9989.45,2247.79,22.50163923,59550.3791,13399.81146,0.001514179
"blowmani",85,191.76,36,95.8,12627.33,8914.32,70.59544654,73913.62852,52179.65611,0.005896301
"blowmani",86,157.46,22,77.52,8937.77,8937.77,100,30045.34648,30045.34648,0.003395124
"blowmani",87,182.91,32,83.56,11648.13,11648.13,100,55212.76979,55212.76979,0.006239043
"blowmani",88,179.27,30,82.8,11351.8,11351.8,100,50204.74872,50204.74872,0.005673137
"blowmani",89,160.88,34,97.08,11201.08,11201.08,100,57889.84116,57889.84116,0.006541552
"blowmani",90,168.64,34,91.57,10161.31,10161.31,100,58081.04058,58081.04058,0.006563158
"blowmani",91,271.09,34.5,98.98,19830.81,15956.24,80.46186717,106720.3361,85869.17505,0.009703217
"blowmani",92,301.54,54,151.04,32567.95,28264.37,86.78584314,274747.8568,238442.244,0.026943974
"blowmani",93,214.28,27.5,88.7,13299.14,8025.54,60.34630811,59572.2951,35949.68075,0.004062314
"blowmani",94,164.86,40,105.02,11619.61,9208.09,79.24611928,74918.0907,59369.67952,0.006708774
"blowmani",95,172.27,32,94.14,10598.39,5847.97,55.1779091,57345.14151,31641.85006,0.003575529
"blowmani",96,136.76,30,94.75,8680.26,6171.7,71.10040483,41451.17665,29471.95441,0.003330331
"blowmani",97,214.28,30,88.55,12844.76,12844.76,100,64897.24728,64897.24728,0.007333389
"blowmani",98,150.36,24,80.91,7923.2,7923.2,100,32316.62464,32316.62464,0.003651779
"blowmani",99,164.26,27,87.34,10047.4,10047.4,100,42942.7511,42942.7511,0.004852531
"blowmani",100,198.56,30,153.38,15870.05,6423.44,40.4752348,95365.35429,38599.35106,0.004361727
"blowmani",101,191.95,40,99.08,13505.54,10014.4,74.15031165,84712.21534,62814.37168,0.007098024
"blowmani",102,296.78,42,135.23,26544.34,26544.34,100,190256.7818,190256.7818,0.021499016
"blowmani",103,149,24,79.94,8070.79,8070.79,100,31653.28428,31653.28428,0.003576821
