"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
158,42,111.79,55.89,9814.33,9814.33,100,244873.1173,244873.1173,0.027670662
159,30,110.06,55.03,9514.11,1841.09,19.35115318,156842.4849,30350.8295,0.003429644
160,56,148.68,74.34,17361.77,4693.27,27.03220927,578082.9881,156268.6031,0.017658352
161,40,117.99,58.99,19033.92,19033.92,100,252153.8669,252153.8669,0.028493387
162,28,103.26,51.63,8373.85,8373.85,100,128735.7542,128735.7542,0.01454714
163,39,113.64,56.82,10142.16,5049,49.7822949,228841.4371,113922.5191,0.012873245
164,120,264.06,132.03,54762.74,10389.07,18.97105587,4190618.363,795004.5508,0.089835514
165,72,179.5,89.75,25306.06,8634.88,34.12178743,1106438.302,377536.5255,0.042661627
166,42,94.01,47.31,7030.22,3515.05,49.99914654,186456.534,93226.67566,0.010534614
167,44,125.48,62.74,12366.44,12366.44,100,316660.289,316660.289,0.035782613
168,42,138.89,69.44,15149.76,4423.11,29.19590805,356910.6413,104203.3027,0.011774973
169,48,126.21,63.1,12510.42,6218.48,49.70640474,358112.1572,178004.6783,0.020114529
170,32,95.03,47.51,7092.27,3931.56,55.43443778,130616.5367,72406.54278,0.008181939
171,42,124.82,62.41,12236.38,6940.58,56.72086025,295759.4916,167757.3279,0.018956578
172,55,127.42,63.71,12750.95,5813.54,45.59299503,437783.0708,199598.4137,0.022554621
173,34,131.15,65.58,13509.28,13509.28,100,250269.2783,250269.2783,0.028280428
174,48,127.19,63.59,12704.89,12704.89,100,362792.7357,362792.7357,0.040995579
175,35,129.06,64.53,13081.66,13081.66,100,251383.801,251383.801,0.02840637
176,39,106.26,53.13,8868.4,3401.64,38.35686257,203986.8769,78242.96602,0.008841455
177,62,177.53,88.76,24753.04,24753.04,100,892054.6024,892054.6024,0.10080217
178,63,221.07,110.54,38385.06,27951.41,72.81846114,1340127.668,975860.3451,0.110272219
179,64,190.13,95.07,28391.75,8820.56,31.0673347,1045887.79,324929.4604,0.036717029
180,36,112.13,56.07,9875.73,4197.67,42.5049085,202209.2653,85948.86317,0.009712222
181,26,105.68,52.84,8772.06,3004.3,34.24851175,123232.6982,42205.36513,0.004769206
182,38,127.96,63.98,12859.34,3491.49,27.15139346,273069.4355,74142.15687,0.008378064
183,34,94.32,47.16,6986.89,2225.4,31.8510811,139360.3648,44387.78282,0.005015819
184,59,175.56,87.78,24207.62,6440.51,26.60530031,821642.7843,218600.5303,0.02470186
185,36,104.6,52.3,8592.65,8592.65,100,179106.0299,179106.0299,0.020238981
186,28,117.73,58.87,10886,4012.28,36.85724784,163922.4716,60417.31162,0.006827156
187,56,176.03,88.02,24337.89,4805.34,19.74427528,773459.8115,152714.0344,0.017256686
188,44,126.84,63.42,12636.03,9323.75,73.78702013,322589.5852,238029.2422,0.026897304
189,36,99.67,49.84,7802.82,5914.85,75.80400419,164897.3629,124998.8039,0.014124865
190,32,86.88,43.44,5928.7,5928.7,100,112009.939,112009.939,0.012657123
191,59,159.78,79.89,20050.25,4547.22,22.67911871,699038.8925,158535.8603,0.017914552
192,48,129.76,64.88,13224.41,8489.42,64.19507562,375288.2044,240916.5466,0.02722357
193,46,134.28,67.14,14162.66,8802.38,62.15202511,376681.9778,234115.4774,0.026455049
194,40,124.76,62.38,12224.26,12224.26,100,278005.6747,278005.6747,0.031414641
195,35,113.42,56.71,10104.14,10104.14,100,199259.457,199259.457,0.022516319
196,44,116.28,58.14,10618.57,7325.19,68.98471263,278229.0101,191935.4831,0.02168871
197,42,123.18,61.59,11916.51,11916.51,100,289051.3116,289051.3116,0.032662798
198,29,105.92,52.96,8812.23,8812.23,100,140535.6179,140535.6179,0.015880525
199,50,163.17,81.59,20911.96,20911.96,100,588283.7574,588283.7574,0.066476065
200,35,116.12,58.06,10590.16,7238.15,68.34788143,207777.701,142011.6567,0.016047317
201,60,168.03,84.01,22174.88,2600.49,11.7271886,778268.0142,91268.95786,0.010313392
202,32,95.95,47.97,7230.29,7230.29,100,132824.2369,132824.2369,0.015009139
