"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"ncavalliensis",51,42,123.94,61.97,12063.64,4525.81,37.51612283,292148.9497,109602.9588,0.012385134
"ncavalliensis",52,24,104.89,52.97,8640.35,6909.04,79.96250152,113015.1854,90369.76935,0.010211784
"ncavalliensis",53,36,119.11,59.55,11141.85,8241.92,73.97263471,224962.0515,166410.3566,0.01880437
"ncavalliensis",54,96,233.6,116.8,42857.28,16201.6,37.80361236,2520448.013,952820.3966,0.107668705
"ncavalliensis",55,36,150.12,75.06,17698.95,5508.43,31.12291972,343024.4223,106759.2156,0.012063791
"ncavalliensis",56,64,188.02,94.01,27764.62,27764.62,100,1025738.892,1025738.892,0.115908495
"ncavalliensis",57,64,175.55,87.78,24204.39,18389.48,75.97580439,911882.3766,692809.9707,0.078287527
"ncavalliensis",58,52,169.55,84.78,22578.26,22578.26,100,660719.4254,660719.4254,0.074661295
"ncavalliensis",59,20,133.96,66.98,14093.79,6079.12,43.13332326,145130.7023,62599.69498,0.007073766
"ncavalliensis",60,80,219.45,109.72,37823.21,27369.72,72.36223472,1780882.385,1288686.292,0.145621551
"ncavalliensis",61,54,196.44,98.22,30308.84,16033.68,52.90100182,900749.7388,476505.6357,0.053845137
