"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"dminuta",45,24,116.02,58.01,10571.33,10571.33,100,134101.7765,134101.7765,0.015153501
"dminuta",46,36,137.1,68.55,14763.01,5586.84,37.8435021,290157.0106,109805.5744,0.01240803
"dminuta",47,20,94.91,47.46,7075.19,7075.19,100,74951.64421,74951.64421,0.008469536
"dminuta",48,22,115.32,57.66,10445.04,10445.04,100,120467.8206,120467.8206,0.013612864
"dminuta",49,32,126.92,63.46,12651.52,2278.74,18.0115907,219585.0081,39550.75291,0.004469235
"dminuta",50,36,120.65,60.33,11433.2,6197.56,54.20669629,230249.7139,124810.7631,0.014103616
"dminuta",51,24,106.39,53.2,8890.08,4348.33,48.91215827,113935.7638,55728.44111,0.006297314
"dminuta",52,40,127.74,63.87,12816.52,9062.91,70.71272077,289825.1317,204943.2361,0.023158586
"dminuta",53,30,125.45,62.72,12359.48,6140.01,49.67854635,199513.0493,99115.18265,0.011200016
"dminuta",54,24,121.61,60.81,11615.71,11615.71,100,146644.1202,146644.1202,0.016570786
"dminuta",55,36,127.2,63.6,12706.76,6703.2,52.7530228,253166.1237,133552.7829,0.015091464
"dminuta",56,34,115.29,57.65,10439.51,6966.91,66.73598665,198079.1421,132190.0698,0.014937478
"dminuta",57,30,150.55,75.27,17800.22,17800.22,100,281121,281121,0.031766673
"dminuta",58,52,136.84,68.42,14705.85,4403.21,29.94189387,455997.0626,136534.1565,0.01542836
"dminuta",59,36,115.91,57.95,10551.21,4887.94,46.32587163,214330.902,99290.65851,0.011219844
"dminuta",60,25,77.3,38.65,4692.53,4692.53,100,66843.50327,66843.50327,0.007553316
"dminuta",61,32,125.3,62.65,12330.86,3414.65,27.6919047,214450.4343,59385.4099,0.006710551
"dminuta",62,30,94.9,47.45,7073.26,5094.14,72.01969106,120236.7227,86594.1162,0.009785135
"dminuta",63,28,103.26,51.63,8373.78,2300.13,27.46824015,128735.7542,35361.44613,0.003995843
"dminuta",64,20,121.86,60.93,11663.35,3284.74,28.1629206,120819.3148,34026.24769,0.003844966
"dminuta",65,36,107.7,53.85,9109.51,9109.51,100,188410.1236,188410.1236,0.021290344
"dminuta",66,44,104.75,52.38,8617.97,5828.89,67.63646195,234230.7084,158425.364,0.017902066
"dminuta",67,25,125,62.5,12271.67,7856.23,64.01924106,161579.3097,103441.8478,0.011688929
"dminuta",68,24,107.94,53.97,9151.48,2506.22,27.38595287,117046.7284,32054.36189,0.003622143
